///Compact CTD [Csv_File]
[Senosr]
SensorType=TCDKU
[Serial No]
Serial_No=00206
Block No=20
DataCount=43
MeasureMode=DepthTrigger
BurstTime=
MeasInterval=
Sample=
Preheat=
StartDate=2015/11/10
StartTime=14:55:06
Depth_Pitch=0.1
Density=1.0250
[Coef]
Ch1=,-7.468360000,9.607200e-04,-7.14227e-09,7.716160e-14,0.000000e+00,
Ch2=,-9.71776e-01,1.098830e-03,5.091190e-11,0.000000e+00,0.000000e+00,
Ch3=,-1.21619e-01,1.081050e-04,0.000000e+00,0.000000e+00,0.000000e+00,
Ch4=,-4.103110000,8.124980e-03,0.000000e+00,0.000000e+00,0.000000e+00,
Ch5=,-8.820920000,1.786530e-02,5.474860e-08,2.161610e-13,0.000000e+00,
[Data]
Depth,Temp,Salinity,Cond,EC25,Density,SigmaT,Chl,Turbidity,
0.000,23.418,0.000,-0.007,-7,997.441,-2.559,28.16,5.45,
0.100,22.264,24.088,35.923,38002,1015.881,15.881,8.38,1.29,
0.200,22.223,26.324,38.885,41171,1017.582,17.582,5.25,0.82,
0.300,22.219,26.831,39.555,41885,1017.968,17.966,3.68,0.90,
0.400,22.219,26.927,39.683,42020,1018.040,18.039,3.16,0.68,
0.500,22.216,26.934,39.690,42030,1018.047,18.045,3.12,0.90,
0.600,22.216,26.931,39.686,42026,1018.045,18.043,3.34,0.82,
0.700,22.210,26.934,39.684,42030,1018.050,18.046,3.40,0.81,
0.800,22.187,26.933,39.664,42029,1018.056,18.052,3.39,1.04,
0.900,22.178,26.931,39.655,42027,1018.057,18.053,3.36,0.93,
1.000,22.169,26.930,39.645,42025,1018.059,18.055,3.35,0.86,
1.100,22.164,26.928,39.639,42022,1018.059,18.054,3.32,0.91,
1.200,22.159,26.930,39.638,42026,1018.063,18.057,3.29,0.88,
1.300,22.151,26.933,39.636,42031,1018.068,18.062,3.56,0.93,
1.400,22.157,26.934,39.641,42031,1018.067,18.061,3.36,0.93,
1.500,22.154,26.935,39.641,42033,1018.069,18.063,3.32,0.86,
1.600,22.127,26.945,39.632,42048,1018.084,18.077,3.30,0.99,
1.700,22.116,26.945,39.623,42049,1018.088,18.081,3.40,0.97,
1.800,22.108,26.939,39.608,42040,1018.086,18.078,3.41,1.09,
1.900,22.098,26.936,39.596,42035,1018.086,18.078,3.49,1.20,
2.000,22.088,26.935,39.587,42035,1018.090,18.081,3.42,0.86,
2.100,22.083,26.936,39.584,42036,1018.091,18.082,3.23,0.84,
2.200,22.082,26.935,39.582,42035,1018.092,18.082,3.18,1.27,
2.300,22.061,26.938,39.569,42040,1018.100,18.090,3.40,1.63,
2.400,22.079,26.935,39.580,42036,1018.094,18.083,3.45,0.91,
2.500,22.063,26.936,39.568,42038,1018.099,18.088,3.35,0.97,
2.600,22.043,26.934,39.550,42035,1018.103,18.092,3.43,1.04,
2.700,22.016,26.935,39.529,42038,1018.112,18.100,3.42,1.15,
2.800,22.011,26.933,39.522,42035,1018.112,18.100,3.34,1.11,
2.900,22.016,26.930,39.521,42029,1018.108,18.096,3.42,1.36,
3.000,22.017,26.926,39.518,42025,1018.106,18.093,3.37,1.04,
3.100,22.014,26.928,39.516,42027,1018.108,18.095,3.23,0.93,
3.200,22.008,26.926,39.510,42025,1018.109,18.095,3.24,1.00,
3.300,22.004,26.928,39.509,42027,1018.112,18.097,3.06,1.09,
3.400,21.986,26.936,39.505,42040,1018.124,18.109,2.74,0.81,
3.500,21.981,26.937,39.502,42041,1018.126,18.111,3.33,2.12,
3.600,21.967,26.934,39.488,42038,1018.128,18.112,3.67,1.38,
3.700,21.951,26.938,39.480,42044,1018.136,18.119,3.43,1.06,
3.800,21.946,26.941,39.479,42047,1018.139,18.123,3.31,0.99,
3.900,21.943,26.943,39.480,42051,1018.143,18.126,3.16,0.91,
4.000,21.942,26.944,39.480,42052,1018.144,18.127,3.18,0.91,
4.100,21.942,26.944,39.480,42052,1018.144,18.126,3.05,0.82,
4.200,21.947,26.948,39.489,42057,1018.146,18.128,3.47,1.08,
